id,sender,received_at,text
0,الراجحي,2024-12-11T02:34:00,"Bill payment AED 35,537.14 to jarir bookstore succeeded. Fee AED 82.31. Ref 565623510"
1,الأهلي,2024-07-29T02:48:00,"Purchase of ر.س 4,467.79 at starbucks on card ending ****5744 on 29/07/2024 02:48. Available balance ر.س 110,579.86 -alrajhi"
2,بنك الرياض,2024-07-12T14:14:00,"‏سحب نقدي 69,951.70 ر.س من الحساب ***815 بتاريخ 12/07/2024 الرصيد المتاح 232,827.65‎"
3,alrajhi,2024-02-25T08:03:00,"Bill payment Ø±.Ø³ 37,955.74 to Ù‡Ù†Ù‚Ø±Ø³ØªÙŠØ´Ù† succeeded. Fee ر.س 8.68. Ref 173833652"
4,الراجحي,2024-09-17T21:59:00,"Salary of ر.س 79,834.19 credited to account ***160 on 17/09/2024"
5,snb,2024-07-19T07:53:00,عزيزنا  العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***280 للاستفسار اتصل على 966589070818
6,الراجحي,2024-09-08T09:37:00,‏Your OTP is 420894. Valid for 5 minutes. Do not share it with anyone‎ -snb
7,snb,2024-08-11T10:55:00,"Bill payment SAR 6,333.05 to نون succeeded. Fee SAR 38.25. Ref 624059081"
8,snb,2024-03-15T17:11:00,"Purchase of USD 13,198.50 at نون on card ending xxxx5278 on 2024-03-15 17:11. Available balance USD 271,609.05"
9,snb,2024-09-26T09:06:00,Your card xxxx8737 was declined at amazon.sa due to insufficient funds
10,الراجحي,2024-11-01T23:50:00,رمز التحقق الخاص بك هو 828468 صالح لمدة 15 دقائق لا تشاركه مع احد
11,snb,2024-08-03T02:35:00,Your OTP is 762654. Valid for 15 minutes. Do not share it with anyone
12,snb,2024-04-28T16:32:00,رمز التحقق الخاص بك هو 160211 صالح لمدة 15 دقائق لا تشاركه مع احد
13,الراجحي,2024-07-21T14:33:00,"Transfer of SAR 29,341.76 to نورة الشمري completed. Ref 929209046. Balance SAR 259,198.44"
14,alrajhi,2024-07-13T03:55:00,"تم تحويل مبلغ 45,700.13 ر.س الى mohammed ali رقم المرجع 521298041 الرصيد 123,865.52"
15,الراجحي,2024-08-28T09:24:00,"سحب نقدي 12,872.39 USD من الحساب ***266 بتاريخ 28/08/2024 الرصيد المتاح 441,422.28 thank you"
16,بنك الرياض,2024-05-19T22:27:00,"Purchase of USD 46,571.46 at jarir bookstore on card ending ****4744 on 2024-05-19 22:27. Available balance USD 147,762.28"
17,الراجحي,2024-04-29T01:47:00,"تم Ø§ÙŠØ¯Ø§Ø¹ Ø±Ø§ØªØ¨ Ø¨Ù…Ø¨Ù„Øº 25,119.21 SAR Ùي الحساب ***920 بتاريخ 2024-04-29"
18,alrajhi,2024-07-10T20:15:00,"‏Purchase  of AED ٨٤,٤٣١.٦٤ at starbucks on card ending xxxx٦١١١ on ١٠/٠٧/٢٠٢٤ ٢٠:١٥. Available balance AED ٤٨٤,٦٠٧.٩٥‎"
19,snb,2024-06-21T20:31:00,"‏تم تحويل مبلغ 84,118.18 AED الى خالد العتيبي رقم المرجع 838457070 الرصيد 53,185.36‎"
20,alrajhi,2024-11-16T08:17:00,"تم ايداع راتب بمبلغ 38,769.51 USD في الحساب ***809 بتاريخ 2024-11-16"
21,alrajhi,2024-04-22T16:52:00,"Dear customer, service المدفوعات الدولية was activated on account ***354. Call 966588759061 for help"
22,snb,2024-09-30T06:19:00,عزيزنا العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***390 للاستفسار ات
23,alrajhi,2024-07-31T15:36:00,"سحب  نقدي 7,662.83 AED من الحساب ***742 بتاريخ 31/07/2024 الرصيد المتاح 20,978.96"
24,بنك الرياض,2024-01-25T01:09:00,"تم  تحويل مبلغ 22,701.16 ر.س الى خالد العتيبي رقم المرجع 182398815 الرصيد 37,271.28"
25,alrajhi,2024-08-14T03:41:00,"Salary  of AED ١,١٢٧.١٧ credited to account ***٨٢٥ on ٢٠٢٤-٠٨-١٤"
